run_id,date,dataset,parameters,mean_val_dice,std_val_dice,hypothesis,notes,interpretation,architecture_activation,architecture_bottleneck_channels,architecture_dropout_probability,architecture_encoder_channels,architecture_group_norm_num_groups,architecture_input_channels,architecture_kernel_size,architecture_normalization,architecture_skip_connection_mode,architecture_upsampling_mode,architecture_use_attention_gates,architecture_use_depthwise_separable_convolutions,architecture_use_residual_connections,architecture_use_single_convolution_per_block,training_batch_size,training_cyclic_learning_rate_half_cycle_epochs,training_cyclic_learning_rate_maximum,training_cyclic_learning_rate_minimum,training_data_root,training_early_stopping_minimum_improvement_delta,training_early_stopping_patience,training_epochs,training_image_size,training_learning_rate,training_max_samples,training_seed,training_use_color_input,training_use_cyclic_learning_rate,training_weight_decay,training_gradient_clipping_max_norm,training_use_augmentation,training_augmentation_apply_horizontal_flip,training_augmentation_apply_vertical_flip,training_augmentation_rotation_max_angle_degrees,architecture_weight_initialization,architecture_convolutions_per_block
2026_06_20_20_26_44,2026-06-20,Polyp,13337,0.616,0.0069,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,3,3,batch_norm,,bilinear,False,True,False,,64.0,,,,data/Polyp,0.001,20.0,200.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_20_21_55_47,2026-06-20,Polyp,75041,0.6882,0.0073,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + standard conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,3,3,batch_norm,,bilinear,False,False,False,,64.0,,,,data/Polyp,0.001,20.0,200.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_20_23_06_09,2026-06-20,Polyp,45625,0.1032,0.09,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 4 blocks,,relu,64,0.0,"[8, 16, 32, 64]",8,3,3,none,,bilinear,False,True,False,,64.0,,,,data/Polyp,0.001,20.0,200.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_21_00_05_55,2026-06-21,Polyp,12761,0.127,0.1151,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,3,3,none,,bilinear,False,True,False,,64.0,,,,data/Polyp,0.001,20.0,200.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_21_00_40_12,2026-06-21,Polyp,74465,0.6406,0.0146,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + standard conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,3,3,none,,bilinear,False,False,False,,64.0,,,,data/Polyp,0.001,20.0,200.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_22_00_18_19,2026-06-22,EMSegmentation,60273,0.8892,0.0062,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 4 blocks + paper's optimization,,h_swish,64,0.0,"[8, 16, 32, 64]",8,1,3,batch_norm,,nearest_neighbor,False,True,True,,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_22_00_34_09,2026-06-22,EMSegmentation,16529,0.8401,0.0139,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 3 blocks + paper's optimization,Using residual connections increased the parameter count while losing in Dice.,h_swish,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,,nearest_neighbor,False,True,True,,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_22_00_55_55,2026-06-22,EMSegmentation,78233,0.8739,0.0112,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + standard conv 3 blocks + paper's optimization,,h_swish,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,,nearest_neighbor,False,False,True,,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_22_01_08_54,2026-06-22,EMSegmentation,59057,0.7663,0.0157,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 4 blocks + paper's optimization,,h_swish,64,0.0,"[8, 16, 32, 64]",8,1,3,none,,nearest_neighbor,False,True,True,,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_21_20_25_16,2026-06-22,BAGLS,12617,0.6445,0.0202,Depth-wise separable layers does not lose much in Dice.,bagls + no norm + ds conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,1,3,none,,bilinear,False,True,False,,64.0,,,,data/bagls,0.001,10.0,100.0,256.0,0.001,20000.0,44.0,False,,0.0001,,,,,,,
2026_06_22_01_29_30,2026-06-22,EMSegmentation,15953,0.7141,0.0105,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 3 blocks + paper's optimization,,h_swish,32,0.0,"[8, 16, 32]",8,1,3,none,,nearest_neighbor,False,True,True,,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_22_01_54_50,2026-06-22,EMSegmentation,77657,0.8342,0.0164,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + standard conv 3 blocks + paper's optimization,,h_swish,32,0.0,"[8, 16, 32]",8,1,3,none,,nearest_neighbor,False,False,True,,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_23_16_06_07,2026-06-23,EMSegmentation,24553,0.8134,0.0188,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 4 blocks + paper's optimization,,h_swish,64,0.0,"[8, 16, 32, 64]",8,1,3,batch_norm,add,nearest_neighbor,False,True,True,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_23_16_22_50,2026-06-23,EMSegmentation,6697,0.7237,0.0107,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 3 blocks + paper's optimization,,h_swish,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,add,nearest_neighbor,False,True,True,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_23_16_48_38,2026-06-23,EMSegmentation,29753,0.7739,0.017,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + standard conv 3 blocks + paper's optimization,,h_swish,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,add,nearest_neighbor,False,False,True,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_23_17_09_05,2026-06-23,EMSegmentation,23945,0.7425,0.004,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 4 blocks + paper's optimization,,h_swish,64,0.0,"[8, 16, 32, 64]",8,1,3,none,add,nearest_neighbor,False,True,True,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_23_17_36_16,2026-06-23,EMSegmentation,6409,0.6365,0.0095,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 3 blocks + paper's optimization,,h_swish,32,0.0,"[8, 16, 32]",8,1,3,none,add,nearest_neighbor,False,True,True,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_23_18_03_54,2026-06-23,EMSegmentation,29465,0.7303,0.0053,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + standard conv 3 blocks + paper's optimization,,h_swish,32,0.0,"[8, 16, 32]",8,1,3,none,add,nearest_neighbor,False,False,True,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_24_20_59_36,2026-06-24,EMSegmentation,21857,0.8672,0.0238,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 4 blocks + paper's optimization(without residual connection),,h_swish,64,0.0,"[8, 16, 32, 64]",8,1,3,batch_norm,add,nearest_neighbor,False,True,False,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_24_21_18_26,2026-06-24,EMSegmentation,6049,0.7366,0.0123,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + ds conv 3 blocks + paper's optimization(without residual connection),,h_swish,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,add,nearest_neighbor,False,True,False,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_24_21_40_54,2026-06-24,EMSegmentation,29105,0.7959,0.0085,Depth-wise separable layers does not lose much in Dice.,emseg + batch norm + standard conv 3 blocks + paper's optimization(without residual connection),,h_swish,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,add,nearest_neighbor,False,False,False,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
